Type,(Name of:  Leasing Company/Investment Finance Co./Housing Finanace Co./)Non Bank Microfinance Co./Modaraba Mgt. Co./Pvt. Equity and Venture Capital Co./ REIT Mgt. Co./AMC),REIT Scheme,Modaraba Fund,Mutual Fund,Pension Fund,Status
Asset Management Company,ABL AMC,,,,,
Asset Management Company,KASB Modarba,,,,,
Asset Management Company,UBL FUNDS,,,,,
Asset Management Company,"Moosa,Noor Muhammad, Shazada & Company pvt ltd",,,,,
Asset Management Company,Allied Rental Modaraba,,,,,
Asset Management Company,Meezan Cash Fund Investment,,,,,
Asset Management Company,Prudential Investment Bank,,,,,
Asset Management Company,NBP FULLERTON ASSET MANAGEMENT LIMITED,,,,,
Asset Management Company,UTP growth Fund,,,,,
Asset Management Company,ORIX LEASING PAKISTAN LTD,,,,,
Asset Management Company,Picic Growth Fund,,,,,
Asset Management Company,Pak Oman Asset Management Co. Ltd,,,,,
Asset Management Company,Al Noor Modaraba,,,,,
Asset Management Company,MCB-Arif Habib Investment,,,,,
Asset Management Company,Dada Bhoy leasing company ltd,,,,,
Asset Management Company,Orix Leasing Pakistan Limited,,,,,
Asset Management Company,Saudi Pak Leasing company,,,,,
Asset Management Company,"Dawood Capital Management Limited,Innovative Investment Bank Limited,Pak Industrial & Credit Leasing Limited",,,,,
Asset Management Company,UNICAP Modarba,,,,,
Asset Management Company,NBFI & Modaraba Association of Pakistan,,,,,
Asset Management Company,Al Meezan Investment group,,,,,
Asset Management Company,MUFAP,,,,,
Asset Management Company,Alfalah Ghp Investment Management Limited,,,,,
Asset Management Company,B.F Modaraba,,,,,
Asset Management Company,JS Mutual Fund,,,,,
Asset Management Company,AKD INVESTMENT MANAGEMENT LIMITED,,,,,
Asset Management Company,Al Meezan Investment Management Limited,,,,,
Asset Management Company,JS INVESTMENTS LIMITED,,,,,
Asset Management Company,Trust Modaraba,,,,,
Asset Management Company,ICP Mutual Fund,,,,,
Asset Management Company,UBL Fund Management Limited,,,,,
Asset Management Company,Innovative Housing finance Ltd,,,,,
Asset Management Company,FIRST INTERFUND MUDARBAH  ,,,,,
Asset Management Company,Assest Management Company,,,,,
Asset Management Company,MCPPF,,,,,
Asset Management Company,Security Investement Bank Limited,,,,,
Asset Management Company,First IBL Modaraba,,,,,
Asset Management Company,Nafa Mutual Funds,,,,,
Asset Management Company,Pak Oman Assests Management Company Limited,,,,,
Asset Management Company,Al meezan Investment management company,,,,,
